Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Aug. 31, 2025","Aug. 23, 2025",Run,65,0.815835,1178,24.0653,14.9532,2.49321,4.01252,,2976,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8662905604
"Aug. 23, 2025","Aug. 22, 2025",Run,84,0.81087,1841,37.84,2.27545,1.58562,26.3684,,4560,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8657923949
"Aug. 21, 2025","Aug. 21, 2025",Run,111,1.42219,1718,20.1333,11.3364,2.98014,5.29271,,4385,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8656861684
"Aug. 21, 2025","Aug. 21, 2025",Run,208,1.83944,4957,44.9139,6.53995,1.33589,9.17438,,12213,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8656638342
"Aug. 20, 2025","Aug. 20, 2025",Run,60,0.71364,1109,25.9001,7.96727,2.3166,7.53081,,2791,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8656215518
"Aug. 19, 2025","Aug. 19, 2025",Run,102,1.28836,1737,22.4705,9.34754,2.67017,6.4188,,4404,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8655582582
"Aug. 19, 2025","Aug. 19, 2025",Run,147,1.40605,3240,38.4054,13.3015,1.56228,4.51078,,8022,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8655577963
"Aug. 18, 2025","Aug. 18, 2025",Run,126,1.43467,2373,27.5673,12.7989,2.17649,4.6879,,5954,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8654589750
"Aug. 17, 2025","Aug. 17, 2025",Run,132,1.38556,2626,31.5877,12.8993,1.89947,4.65143,,6549,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8654242504
"Aug. 14, 2025","Aug. 14, 2025",Run,66,0.683913,1350,32.8989,13.0671,1.82377,4.59168,,3362,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8652192611
"Aug. 14, 2025","Aug. 12, 2025",Run,308,3.29016,5944,30.11,2.04843,1.9927,29.2907,,14855,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8652192396
"Aug. 12, 2025","Aug. 12, 2025",Run,129,1.56137,2360,25.1915,6.53091,2.38175,9.18709,,5947,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8650881064
"Aug. 10, 2025","Aug. 10, 2025",Run,144,1.4662,2966,33.7153,10.5078,1.77961,5.71003,,7378,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8649831109
"Aug. 9, 2025","Aug. 9, 2025",Run,46,0.501568,871,28.9426,8.34701,2.07307,7.1882,,2181,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8649236570
"Aug. 9, 2025","Aug. 9, 2025",Run,373,3.32982,2151,10.7663,5.44816,5.57293,11.0129,,5791,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8649232252
"Aug. 8, 2025","Aug. 8, 2025",Run,156,1.42009,3595,42.192,9.57653,1.42207,6.26532,,8874,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8648442276
"Aug. 6, 2025","Aug. 6, 2025",Run,66,0.747977,1236,27.5409,7.27138,2.17857,8.25153,,3101,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8647077429
"Aug. 5, 2025","Aug. 5, 2025",Run,118,1.50271,1952,21.6497,6.75416,2.7714,8.88342,,4960,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8646709931
"Aug. 5, 2025","Aug. 5, 2025",Run,143,1.64082,2684,27.2627,12.5992,2.20081,4.76222,,6738,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8646451780
"Aug. 4, 2025","Aug. 4, 2025",Run,130,1.63162,2262,23.1058,13.2764,2.59675,4.5193,,5727,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8646000171
"Aug. 1, 2025","Aug. 1, 2025",Run,61,0.7757,921,19.7886,7.66335,3.03205,7.82947,,2353,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8643858960
